epoch,loss
1,7.7265
2,7.7290
3,7.7272
4,7.7243
5,11.0025
6,11.0031
7,10.2167
8,9.8108
9,7.4926
10,7.6167
11,7.4941
12,7.6871
13,7.0748
14,7.0032
15,7.0866
16,7.1758
17,6.8535
18,6.8568
19,6.8523
20,6.6300
21,6.5872
22,6.5964
23,6.4402
24,6.8664
25,6.6949
26,6.7750
27,6.6242
28,6.4529
29,6.4366
30,6.3954
31,6.2261
32,6.5389
33,6.4426
34,6.6989
35,6.4242
36,6.5115
37,6.6605
38,6.7847
39,6.2241
40,6.3884
41,6.0734
42,6.4832
43,6.4815
44,6.2616
45,6.3080
46,6.6796
47,6.5411
48,6.8143
49,6.1577
50,6.1628
51,6.2220
52,6.4788
53,6.2089
54,6.2143
55,6.5483
56,6.4101
57,6.4853
58,6.3694
59,6.1686
60,6.0227
61,6.4207
62,5.9326
63,5.9461
64,6.1856
65,6.1534
66,6.2206
67,6.0777
68,6.0078
69,5.8650
70,5.9485
71,6.3004
72,5.9554
73,5.7594
74,5.9228
75,6.0986
76,6.2878
77,5.8174
78,5.9306
79,5.6877
80,5.8364
81,5.7810
82,6.1019
83,5.8033
84,6.0066
85,5.7531
86,5.6822
87,5.8614
88,6.1234
89,5.8954
90,5.6718
91,5.8408
92,6.0090
93,5.8669
94,6.0130
95,5.8557
96,5.6018
97,5.7427
98,5.7314
99,5.7278
100,5.8412
101,6.0218
102,5.4824
103,5.6034
104,5.4790
105,5.6907
106,6.0348
107,5.9280
108,6.0399
109,5.5980
110,5.9910
111,6.0501
112,5.6880
113,5.4846
114,5.7924
115,5.4831
116,5.4872
117,5.7649
118,5.7566
119,5.5313
120,5.7639
121,5.3810
122,5.4326
123,5.2759
124,5.6577
125,5.4337
126,5.2026
127,5.2887
128,5.4974
129,5.1519
130,5.1694
131,5.4307
132,5.3805
133,5.0186
134,5.2735
135,5.2368
136,5.0516
137,4.8886
138,4.9442
139,5.0858
140,5.1196
141,5.1712
142,4.8638
143,4.8739
144,4.9933
145,4.6729
146,4.8524
147,4.7438
148,4.7548
149,4.7488
150,4.5862
151,4.6009
152,4.5951
153,4.5595
154,4.4025
155,4.3307
156,4.5750
157,4.4159
158,4.5397
159,4.2928
160,4.3479
161,4.1417
162,4.1255
163,4.0388
164,4.1244
165,4.4229
166,4.2542
167,4.2520
168,4.2610
169,5.4618
170,5.8844
171,5.8955
172,5.7828
173,5.0594
174,5.0868
175,5.0534
176,5.2388
177,5.3475
178,4.9063
179,5.0017
180,5.1926
181,4.8756
182,5.1345
183,4.8312
