epoch,loss
1,7.6604
2,7.7521
3,7.7713
4,7.8717
5,10.0225
6,10.9134
7,10.4154
8,10.0164
9,7.4629
10,7.6402
11,7.4112
12,7.4148
13,7.0788
14,7.0807
15,6.9704
16,6.8051
17,6.4472
18,6.9449
19,6.6408
20,6.6488
21,6.6908
22,6.7479
23,6.4956
24,6.4603
25,6.4526
26,6.7707
27,6.6959
28,6.3022
29,6.4157
30,6.4264
31,6.4203
32,6.4917
33,6.5338
34,6.4450
35,6.2729
36,6.6710
37,6.4049
38,6.4860
39,6.6831
40,6.5380
41,6.0822
42,6.2638
43,6.0992
44,6.7124
45,6.3436
46,6.1511
47,6.3990
48,6.5822
49,6.4998
50,6.1990
51,6.2609
52,6.3999
53,6.0911
54,6.5890
55,6.2204
56,6.2987
57,6.5186
58,6.3792
59,6.0374
60,6.2744
61,6.0829
62,6.2926
63,6.2347
64,6.1052
65,6.0409
66,6.0291
67,6.2649
68,6.3783
69,6.1460
70,6.1381
71,6.1523
72,5.9687
73,6.2734
74,5.9253
75,5.8182
76,6.1474
77,6.2718
78,5.8219
79,5.9031
80,5.9051
81,6.1787
82,5.7901
83,5.9908
84,5.9899
85,5.6789
86,5.8942
87,6.1514
88,6.1394
89,6.0319
90,5.6468
91,5.7065
92,5.7055
93,5.6528
94,5.8409
95,6.0389
96,5.8876
97,5.9156
98,5.7303
99,5.7334
100,5.6067
101,5.3923
102,5.5509
103,5.3805
104,5.5449
105,5.2979
106,5.3951
107,5.8211
108,5.7780
109,5.6575
110,5.4469
111,5.6445
112,5.4950
113,5.6332
114,5.7558
115,5.7930
116,5.6210
117,6.4168
118,6.4168
119,6.0720
120,6.3286
121,5.6952
122,6.0231
123,6.0728
124,6.0818
125,6.2352
126,5.9884
127,5.8245
128,5.8771
129,5.5202
130,5.5126
131,5.7270
132,5.5202
133,5.8561
134,5.8160
135,5.6680
136,5.6158
137,5.8158
138,5.5552
139,5.4695
140,5.8160
141,5.3300
142,5.5652
143,5.2307
144,5.5727
145,5.3831
146,5.2410
147,5.3852
148,5.2397
149,5.1842
150,5.0896
151,5.3390
152,5.3352
153,5.1669
154,5.1156
155,5.1217
156,5.1131
157,5.1076
158,5.1091
159,4.7802
160,4.6759
161,4.6838
162,4.9477
163,4.9400
164,4.7984
165,4.6353
166,4.6691
167,4.6964
168,4.7763
169,4.6599
170,5.2350
171,4.6407
172,4.9666
173,5.5080
174,5.2561
175,5.0108
176,5.1374
177,4.9815
178,4.9775
179,5.2278
180,5.2244
181,4.9304
182,4.7801
183,4.9143
184,5.1349
185,5.0609
186,5.0307
187,4.8587
188,4.8790
189,4.6924
190,4.4999
191,4.6831
192,4.5646
193,4.3076
194,4.5288
195,4.3781
196,4.5087
197,4.2707
198,4.2009
199,4.1742
200,4.4214
201,3.9684
202,3.8731
203,3.8670
204,3.9685
205,3.6410
206,3.6688
207,3.6615
208,3.7992
209,3.5200
210,3.5367
211,3.6630
212,3.5306
213,3.5067
214,3.6683
215,3.7078
216,3.5152
217,4.4432
218,4.0934
219,4.5764
220,4.6433
221,3.7777
222,3.8064
223,3.8149
224,3.7578
225,3.8428
226,3.8213
227,3.7191
228,3.6776
229,3.2834
230,3.2915
231,3.1698
232,3.3117
233,3.1112
234,3.0697
235,3.0534
236,2.7699
237,2.9804
238,2.8535
239,2.5566
240,2.9776
241,2.7435
242,2.7836
243,2.4917
244,2.7434
245,2.3458
246,2.5910
247,2.5853
248,2.7196
249,2.6161
250,2.4835
251,2.4895
252,2.4908
253,2.4371
254,2.5468
255,2.4124
256,2.4433
257,2.4174
258,2.3996
259,2.2481
260,2.4061
261,2.3098
262,2.0518
263,2.3059
264,2.4668
265,2.2635
266,2.1786
267,1.8802
268,2.1844
269,2.1615
270,2.1660
271,2.1350
272,2.1055
273,2.0809
274,2.0458
275,2.0166
276,2.0211
277,2.0323
278,1.9722
279,2.0253
280,1.6549
281,1.8413
282,1.9175
283,1.9147
284,1.8574
285,1.8728
286,1.8198
287,1.5068
288,1.8499
289,1.7733
290,1.7680
291,1.8411
292,1.8085
293,1.7422
294,1.7341
295,1.7178
296,1.4239
297,1.7126
298,1.7129
299,1.7394
300,1.6875
301,1.6452
302,1.2928
303,1.6523
304,1.6057
305,1.4917
306,1.6022
307,1.5054
308,1.5964
309,1.6155
310,1.5585
311,1.5760
312,1.5664
313,1.1472
314,1.4919
315,1.4115
316,1.4792
317,1.4674
318,1.4380
319,1.4232
320,1.5066
321,1.3904
322,1.4075
323,1.3379
324,1.0710
325,1.3401
326,1.3620
327,1.0222
328,1.3530
329,1.3357
330,1.2568
331,1.3560
332,1.2575
333,1.2581
334,1.1968
335,1.2484
336,1.1918
337,1.2487
338,1.2269
339,1.2527
340,1.2794
341,1.2168
342,1.2006
343,1.1918
344,1.1771
345,1.2302
346,1.1873
347,1.2285
348,1.0844
349,1.0339
350,0.8102
351,1.0449
352,1.1292
353,1.1728
354,1.1094
355,1.0072
356,1.0684
357,1.0886
358,1.0909
359,1.0791
360,0.9704
361,1.1088
362,0.9487
363,0.9962
364,0.9883
365,1.0163
366,0.9638
367,0.9078
368,1.0705
369,0.8726
370,1.0204
371,0.6915
372,1.0163
373,0.9978
374,0.9586
375,0.9507
376,0.8722
377,0.9646
378,0.6524
379,0.8188
380,0.9581
381,0.9897
382,0.9485
383,0.7978
384,0.8034
385,0.8100
386,0.7795
387,0.8929
388,0.8086
389,0.7920
390,0.8158
391,0.8134
392,0.8052
393,0.9427
394,0.7734
395,0.8825
396,0.8470
397,0.8593
398,0.9171
399,0.5824
400,0.9176
401,0.9143
402,0.8228
403,0.8563
404,0.9186
405,0.7302
406,0.7383
407,0.8369
408,0.6813
409,0.7195
410,0.7884
411,0.8151
412,0.8223
413,0.5398
414,0.7048
415,0.7081
416,0.8109
417,0.7020
418,0.7069
419,0.6925
420,0.7639
421,0.8468
422,0.7553
423,0.6860
424,0.7876
425,0.6854
426,0.6269
427,0.6276
428,0.6773
429,0.8214
430,0.7651
431,0.6176
432,0.7580
433,0.5079
434,0.6670
435,0.6669
436,0.7250
437,0.7139
438,0.6581
439,0.6489
440,0.7511
441,0.7499
442,0.5879
443,0.5908
444,0.5916
445,0.7498
446,0.7028
447,0.4926
448,0.6325
449,0.6273
450,0.6233
451,0.4811
452,0.7863
453,0.4802
454,0.7333
455,0.6194
456,0.6955
457,0.7145
458,0.7226
459,0.7231
460,0.6131
461,0.6045
462,0.5544
463,0.7081
464,0.6854
465,0.6063
466,0.4657
467,0.4647
468,0.7026
469,0.7094
470,0.7663
471,0.7030
472,0.7650
473,0.6968
474,0.4588
475,0.5897
476,0.7023
477,0.5958
478,0.6959
479,0.7488
480,0.7550
481,0.7601
482,0.4472
483,0.4513
484,0.5297
485,0.4461
486,0.5905
487,0.6799
488,0.6577
489,0.7343
490,0.6794
491,0.6911
492,0.4413
493,0.5763
494,0.6820
495,0.6760
496,0.4432
497,0.5146
498,0.5097
499,0.4339
500,0.6753
501,0.4397
502,0.5718
503,0.4315
504,0.5647
505,0.5041
506,0.6685
507,0.5483
508,0.5051
509,0.4319
510,0.7306
511,0.7335
512,0.5580
513,0.6391
514,0.6575
515,0.6334
516,0.5378
517,0.4202
518,0.6691
519,0.5397
520,0.6585
521,0.6518
522,0.7194
523,0.6583
524,0.4903
525,0.7120
526,0.5412
527,0.5452
528,0.6580
529,0.6145
530,0.6125
531,0.6168
532,0.4796
533,0.5369
534,0.5376
535,0.7126
536,0.6464
537,0.6413
538,0.4783
539,0.6385
540,0.5364
541,0.5245
542,0.5188
543,0.6464
544,0.5160
545,0.4025
546,0.4016
547,0.5236
548,0.5165
549,0.4658
550,0.6293
551,0.4687
552,0.4683
553,0.3986
554,0.5138
555,0.6342
556,0.6065
557,0.4591
558,0.5961
559,0.4657
560,0.5088
561,0.5853
562,0.4999
563,0.4579
564,0.6207
565,0.6086
566,0.4519
567,0.4590
568,0.6889
569,0.4575
570,0.5785
571,0.6812
572,0.4937
573,0.6803
574,0.5680
575,0.5714
576,0.6873
577,0.5983
578,0.4494
579,0.3827
580,0.3799
581,0.4810
582,0.5602
583,0.6092
584,0.4464
585,0.4889
586,0.5561
587,0.4406
588,0.6762
589,0.4436
590,0.3765
591,0.3798
592,0.4789
593,0.3724
594,0.4333
595,0.4699
596,0.4715
597,0.4759
598,0.4340
599,0.5483
600,0.5884
601,0.6494
602,0.5856
603,0.6055
604,0.4730
605,0.4359
606,0.5371
607,0.4727
608,0.5382
609,0.4546
610,0.3652
611,0.3670
612,0.4603
613,0.6346
614,0.4627
615,0.5859
616,0.4616
617,0.4560
618,0.4590
619,0.5843
620,0.4253
621,0.4573
622,0.5266
623,0.4596
624,0.4227
625,0.4598
626,0.5625
627,0.4182
628,0.4105
629,0.3506
630,0.4455
631,0.3491
632,0.3536
633,0.4392
634,0.4466
635,0.4484
636,0.4445
637,0.5041
638,0.3484
639,0.3480
640,0.5039
641,0.5480
642,0.3490
643,0.4927
644,0.4096
645,0.5343
646,0.6140
647,0.6271
648,0.4824
649,0.4049
650,0.4827
651,0.4318
652,0.4285
653,0.4254
654,0.5238
655,0.4745
656,0.4066
657,0.6119
