iteration,Sim
1,0.687022901
2,0.735294118
3,0.746478873
4,0.711111111
5,0.71641791
6,0.725925926
7,0.746268657
8,0.729927007
9,0.706766917
10,0.691176471
11,0.706766917
12,0.701492537
13,0.702290076
14,0.687022901
15,0.686567164
16,0.700729927
17,0.701492537
18,0.711111111
19,0.746478873
20,0.802816901
21,0.780141844
22,0.757142857
23,0.757142857
24,0.805555556
25,0.756756757
26,0.763888889
27,0.746478873
28,0.75
29,0.774647887
30,0.774647887
31,0.785714286
32,0.768115942
33,0.755555556
34,0.746268657
35,0.773722628
36,0.774647887
37,0.755244755
38,0.788732394
39,0.786206897
40,0.77852349
41,0.77852349
42,0.794520548
