iteration,Sim
1,0.653333333
2,0.630136986
3,0.653333333
4,0.620689655
5,0.657718121
6,0.721518987
7,0.684210526
8,0.730769231
9,0.721518987
10,0.675324675
11,0.671052632
12,0.729559748
13,0.714285714
14,0.751592357
15,0.754716981
16,0.734177215
17,0.754716981
18,0.738853503
19,0.767295597
20,0.742138365
21,0.795321637
22,0.776470588
23,0.771084337
24,0.751515152
25,0.790419162
26,0.785714286
27,0.797619048
28,0.804733728
29,0.811764706
30,0.81871345
31,0.80952381
32,0.828402367
33,0.804733728
34,0.80239521
35,0.827586207
36,0.790419162
37,0.813953488
38,0.820809249
39,0.80239521
40,0.820809249
41,0.790697674
42,0.80239521
43,0.852272727
44,0.886486486
45,0.864864865
46,0.886486486
47,0.864864865
48,0.888888889
49,0.88172043
50,0.888888889
